from,to,weight,Color1,Title1
53193,44297,1,#990000,usc
55124,40945,1,#9e1b34,temple
58310,57865,1,#18453b,msu
17378,35005,1,#8b1f41,asu
37911,55210,1,#469ed9,umanitoba
57823,58173,1,#ffffff,community
53389,53044,1,#e87500,utdallas
52411,52573,1,#e87500,utdallas
50034,51374,1,#18453b,msu
44297,29563,1,#990000,usc
46149,6371,1,#fa3927,cornell
52014,52046,1,#003091,ie
52411,55305,1,#e87500,utdallas
52890,52891,1,#f58220,utep
56871,42081,1,#74b1de,columbia
56858,46383,1,#8b1f41,asu
53389,53045,1,#e87500,utdallas
44394,38348,1,#990000,usc
58065,52748,1,#18453b,msu
17378,42673,1,#8b1f41,asu
57823,58145,1,#ffffff,community
42334,42235,1,#ffffff,community
58807,58845,1,#003091,ie
13261,58513,1,#900026,iona
58784,58795,1,#003091,ie
58769,58752,1,#003091,ie
53389,53026,1,#e87500,utdallas
17378,55209,1,#8b1f41,asu
51374,55360,1,#18453b,msu
52411,52548,1,#e87500,utdallas
17378,52472,1,#8b1f41,asu
53389,53027,1,#e87500,utdallas
17378,52652,1,#8b1f41,asu
17378,52695,1,#8b1f41,asu
56858,17372,1,#8b1f41,asu
52181,42235,1,#990000,usc
58781,58769,1,#003091,ie
58769,58838,1,#003091,ie
48393,49638,1,#9e1b34,temple
53389,53037,1,#e87500,utdallas
53101,40945,1,#9e1b34,temple
55381,40945,1,#9e1b34,temple
47254,20692,1,#4b2e83,washington
56871,50911,1,#74b1de,columbia
16452,56729,1,#fa3927,cornell
23973,40933,1,#4b2e83,washington
47254,19984,1,#4b2e83,washington
56858,30589,1,#8b1f41,asu
56871,50990,1,#74b1de,columbia
23973,55646,1,#4b2e83,washington
58781,58778,1,#003091,ie
58807,58804,1,#003091,ie
58769,58853,1,#003091,ie
58807,58854,1,#003091,ie
58798,58803,1,#003091,ie
56858,50970,1,#8b1f41,asu
58781,58753,1,#003091,ie
16452,57735,1,#fa3927,cornell
52304,48771,1,#74b1de,columbia
16452,57595,1,#fa3927,cornell
47254,20676,1,#4b2e83,washington
