id,Color,Platform
53193,#990000,usc
55124,#9e1b34,temple
58310,#18453b,msu
17378,#8b1f41,asu
37911,#469ed9,umanitoba
57823,#FFFFFF,community
53389,#e87500,utdallas
52411,#e87500,utdallas
50034,#18453b,msu
44297,#990000,usc
46149,#fa3927,cornell
52014,#003091,ie
52890,#f58220,utep
56871,#74b1de,columbia
56858,#8b1f41,asu
44394,#990000,usc
58065,#18453b,msu
42334,#FFFFFF,community
58807,#003091,ie
13261,#900026,iona
58784,#003091,ie
58769,#003091,ie
51374,#18453b,msu
52181,#990000,usc
58781,#003091,ie
48393,#9e1b34,temple
53101,#9e1b34,temple
55381,#9e1b34,temple
47254,#4b2e83,washington
16452,#fa3927,cornell
23973,#4b2e83,washington
58798,#003091,ie
52304,#74b1de,columbia
58824,#003091,ie
51150,#4b2e83,washington
52006,#003091,ie
43780,#1f395a,evanstonnu
47578,#fa3927,cornell
58811,#003091,ie
47262,#f2c413,ucf
52354,#74b1de,columbia
55235,#9e1b34,temple
51986,#003091,ie
43285,#f2c413,ucf
50906,#74b1de,columbia
52905,#e87500,utdallas
58838,#003091,ie
58875,#003091,ie
51232,#4b2e83,washington
56898,#8b1f41,asu
53069,#9e1b34,temple
40945,#9e1b34,temple
50487,#cc0000,bu
55467,#9e1b34,temple
53565,#18453b,msu
52012,#003091,ie
50229,#8b1f41,asu
49575,#01235d,ucsd
55287,#f58220,utep
53369,#fa3927,cornell
41787,#9e1b34,temple
55598,#01235d,ucsd
55591,#74b1de,columbia
41572,#990000,usc
55476,#9e1b34,temple
52038,#003091,ie
42130,#9e1b34,temple
55146,#74b1de,columbia
44079,#9e1b34,temple
30749,#f2c413,ucf
24404,#990000,usc
55612,#004f30,hawaii
56522,#9e1b34,temple
55606,#004f30,hawaii
50189,#01235d,ucsd
53020,#74b1de,columbia
56893,#fa3927,cornell
55725,#004f30,hawaii
44946,#fa3927,cornell
45189,#9e1b34,temple
53544,#01235d,ucsd
55499,#9e1b34,temple
53546,#01235d,ucsd
55477,#9e1b34,temple
45933,#9e1b34,temple
55469,#9e1b34,temple
52464,#e87500,utdallas
55944,#9e1b34,temple
55479,#9e1b34,temple
30533,#f2c413,ucf
55802,#9e1b34,temple
55880,#f04f23,utrgv
55508,#9e1b34,temple
55140,#f04f23,utrgv
52375,#cc0000,bu
49570,#01235d,ucsd
30763,#f2c413,ucf
58799,#003091,ie
58845,#003091,ie
58754,#003091,ie
46722,#8b1f41,asu
55801,#9e1b34,temple
50168,#9e1b34,temple
28187,#07294d,baiada
29407,#fa3927,cornell
53578,#74b1de,columbia
46151,#74b1de,columbia
56160,#74b1de,columbia
58763,#003091,ie
58780,#003091,ie
55618,#004f30,hawaii
52714,#8b1f41,asu
58840,#003091,ie
52194,#9e1b34,temple
49717,#01235d,ucsd
44842,#74b1de,columbia
56886,#9e1b34,temple
36820,#8b1f41,asu
56934,#9e1b34,temple
14271,#FFFFFF,NALL
58998,#003091,ie
50288,#01235d,ucsd
12535,#FFFFFF,NALL
58398,#fa3927,cornell
30703,#f2c413,ucf
45196,#9e1b34,temple
16473,#fa3927,cornell
56026,#9e1b34,temple
56065,#f04f23,utrgv
53279,#9e1b34,temple
55172,#9e1b34,temple
8108,#fa3927,cornell
25971,#fa3927,cornell
52336,#a61d31,harvard
56992,#4b2e83,washington
57363,#fa3927,cornell
52301,#74b1de,columbia
52089,#9e1b34,temple
56990,#9e1b34,temple
50109,#74b1de,columbia
45183,#9e1b34,temple
56546,#1f395a,evanstonnu
57041,#f2c413,ucf
16604,#8b1f41,asu
57018,#8b1f41,asu
42235,#990000,usc
57242,#18453b,msu
26728,#fa3927,cornell
58967,#990000,usc
12030,#FFFFFF,NALL
44409,#0e529a,depaul
53196,#990000,usc
49291,#990000,usc
28287,#0e529a,depaul
55493,#e87500,utdallas
44580,#fa3927,cornell
34735,#0e529a,depaul
56679,#f2c413,ucf
37900,#74b1de,columbia
57139,#8b1f41,asu
19225,#8b1f41,asu
20684,#07294d,baiada
2729,#cc0000,bu
36612,#f1b82d,missouri
7071,#FFFFFF,NALL
50350,#01235d,ucsd
58778,#003091,ie
16703,#0e529a,depaul
55231,#9e1b34,temple
55160,#9e1b34,temple
58378,#9e1b34,temple
57143,#8b1f41,asu
55360,#18453b,msu
52983,#74b1de,columbia
28374,#8b1f41,asu
58513,#900026,iona
47223,#18453b,msu
10646,#fa3927,cornell
45785,#f2c413,ucf
16988,#8b1f41,asu
49537,#4b2e83,washington
29613,#fa3927,cornell
41655,#fa3927,cornell
58825,#003091,ie
49562,#01235d,ucsd
57163,#f2c413,ucf
45193,#9e1b34,temple
49464,#8b1f41,asu
56787,#fdca21,bowiestate
51361,#01235d,ucsd
17012,#fa3927,cornell
51000,#fdca21,bowiestate
13838,#FFFFFF,NALL
57009,#00549f,erau
30948,#f2c413,ucf
57037,#8b1f41,asu
57294,#430b00,rowan
50869,#f2c413,ucf
52716,#8b1f41,asu
52004,#003091,ie
45420,#f2c413,ucf
48419,#fa3927,cornell
18739,#07294d,baiada
53017,#00549f,erau
57215,#fa3927,cornell
49443,#8b1f41,asu
58705,#990000,usc
57640,#18453b,msu
52723,#8b1f41,asu
52258,#4b2e83,washington
36559,#990000,usc
52555,#fa3927,cornell
49825,#FFFFFF,NALL
52018,#003091,ie
48300,#fa3927,cornell
9646,#FFFFFF,NALL
